Datim,Duration,id,State,State_SC,State_TR
2023-01-05 13:00:00,2,308,UP,"",""
2023-01-05 13:00:00,2,1296,UP,"",""
2023-01-05 13:00:00,2,2623,UP,UP,UP
2023-01-05 13:00:00,3,137,UP,"",""
2023-01-05 13:00:00,3,1172,UP,"",""
2023-01-05 13:26:48,,542,UP,"",""
2023-01-05 13:30:00,0.5,2237,DOWN,"",""
2023-01-05 13:30:00,2.5,337,UP,"",""
2023-01-05 13:30:00,4.5,343,UP,"",""
2023-01-05 13:58:01,2.852222222222222,335,UP,"",""
2023-01-05 14:00:00,0.5,440,UP,"",""
2023-01-05 14:00:00,1,485,UP,"",""
2023-01-05 14:00:00,1,1843,UP,"",""
2023-01-05 14:00:00,1.6080555555555556,1591,UP,"",""
2023-01-05 14:00:00,2,1924,UP,"",""
2023-01-05 14:00:00,2,2081,UP,"",""
2023-01-05 14:00:00,2,2472,UP,UP,UP
2023-01-05 14:00:00,2.0008333333333335,458,UP,"",""
2023-01-05 14:00:00,3,805,UP,"",""
2023-01-05 14:00:00,3.5,416,UP,"",""
2023-01-05 14:00:00,4,1076,UP,"",""
2023-01-05 14:00:00,8,1672,DOWN,"",""
2023-01-05 14:00:00,8,1679,DOWN,"",""
2023-01-05 14:00:00,10,564,UP,"",""
2023-01-05 14:03:14,3.783611111111111,2157,UP,"",""
2023-01-05 14:18:08,3.681388888888889,1016,UP,"",""
2023-01-05 14:30:00,0.5,253,UP,"",""
2023-01-05 14:30:00,1,1544,DOWN,"",""
2023-01-05 14:57:19,,1679,UP,"",""
2023-01-05 15:00:00,1,1975,UP,"",""
2023-01-05 15:00:00,1,2642,UP,UP,UP
2023-01-05 15:00:00,3,1652,UP,"",""
2023-01-05 15:00:00,4,315,UP,"",""
2023-01-05 15:07:27,3.7030555555555558,1372,UP,"",""
2023-01-05 15:30:00,1.5,1425,UP,"",""
2023-01-05 15:30:00,1.5,1571,UP,"",""
2023-01-05 15:30:00,2.5,175,UP,"",""
2023-01-05 15:30:00,2.5,2310,UP,"",""
2023-01-05 15:52:38,5.128055555555555,323,UP,"",""
2023-01-05 16:00:00,1,712,UP,"",""
2023-01-05 16:00:00,1,2523,UP,UP,UP
2023-01-05 16:00:00,2,1206,UP,"",""
2023-01-05 16:30:00,2,441,UP,"",""
2023-01-05 17:00:00,1,2643,UP,UP,UP
2023-01-05 17:00:00,4,605,UP,"",""
2023-01-05 17:00:00,5,629,UP,"",""
2023-01-05 18:00:00,1,527,DOWN,"",""
2023-01-05 18:00:00,4,2066,DOWN,"",""
2023-01-05 18:00:00,6,2289,UP,"",""
2023-01-05 18:07:35,0.32916666666666666,244,UP,"",""
2023-01-05 18:30:00,0.5,255,UP,"",""
2023-01-05 18:30:00,1.5,1772,UP,"",""
2023-01-05 18:30:10,0.4911111111111111,1384,UP,"",""
2023-01-05 18:58:25,2.6616666666666666,968,UP,"",""
2023-01-05 19:00:00,1,1382,UP,"",""
2023-01-05 19:00:00,2.5,176,UP,"",""
2023-01-05 19:14:41,2.2508333333333335,1040,UP,"",""
2023-01-05 20:00:00,4,1138,UP,"",""
2023-01-05 21:00:00,12,382,UP,"",""
2023-01-05 22:00:00,8,258,DOWN,"",""
2023-01-05 22:00:00,10,628,UP,"",""
2023-01-05 22:00:00,11,2260,UP,"",""
2023-01-05 22:22:22,3.776388888888889,1010,UP,"",""
2023-01-05 22:24:38,3.4341666666666666,2158,UP,"",""
2023-01-05 22:29:02,3.6458333333333335,1929,UP,"",""
2023-01-06 03:17:21,2.8216666666666668,2171,UP,"",""
2023-01-06 03:34:15,2.5580555555555557,998,UP,"",""
2023-01-06 03:57:16,1.9441666666666666,1488,UP,"",""
2023-01-06 04:00:00,6,1921,UP,"",""
2023-01-06 06:00:00,5.163055555555555,1830,UP,"",""
2023-01-06 06:25:49,3.371111111111111,1004,UP,"",""
2023-01-06 06:30:00,3,535,UP,"",""
2023-01-06 06:30:00,3.5,528,UP,"",""
2023-01-06 06:31:01,,535,DOWN,"",""
2023-01-06 06:31:18,,528,DOWN,"",""
2023-01-06 06:37:16,3.378888888888889,908,UP,"",""
2023-01-06 06:47:44,4.195833333333334,2162,UP,"",""
2023-01-06 07:00:00,1.5,1111,UP,"",""
2023-01-06 07:00:00,3,234,UP,"",""
2023-01-06 07:11:22,0.8105555555555556,2521,UP,UP,UP
2023-01-06 08:00:00,1,2300,UP,"",""
2023-01-06 08:00:00,3,1853,UP,"",""
2023-01-06 08:30:00,1.5,2090,UP,"",""
2023-01-06 08:56:00,6.810277777777777,1689,UP,"",""
2023-01-06 09:00:00,1,828,UP,"",""
2023-01-06 09:00:00,2,761,UP,"",""
2023-01-06 09:00:00,3.721111111111111,1521,UP,"",""
2023-01-06 09:00:00,7,1964,UP,"",""
2023-01-06 09:00:00,7.5,2291,UP,"",""
2023-01-06 09:00:00,8,2262,UP,"",""
2023-01-06 09:30:00,0.5,1295,UP,"",""
2023-01-06 09:30:00,0.5472222222222223,2520,UP,UP,UP
2023-01-06 09:30:00,3.0825,2007,UP,"",""
2023-01-06 09:30:00,6,532,DOWN,"",""
2023-01-06 09:59:16,4.0072222222222225,1006,UP,"",""
2023-01-06 10:00:00,0.5,2514,UP,UP,UP
2023-01-06 10:00:00,2,388,UP,"",""
2023-01-06 10:00:00,2,404,UP,"",""
2023-01-06 10:00:00,2,2366,UP,DOWN,UP
2023-01-06 10:00:00,2.2005555555555554,275,UP,"",""
2023-01-06 10:00:00,3.0211111111111113,1268,UP,"",""
2023-01-06 10:00:00,7,1100,UP,"",""
2023-01-06 10:00:00,7.5,1629,UP,"",""
2023-01-06 10:00:00,8,2323,DOWN,"",""
2023-01-06 10:00:00,12.210555555555555,345,UP,"",""
2023-01-06 10:00:00,14,549,UP,"",""
2023-01-06 10:22:39,3.361666666666667,970,UP,"",""
2023-01-06 10:30:00,1.5,1209,UP,"",""
2023-01-06 10:30:00,3.5,2083,UP,"",""
2023-01-06 10:30:00,6.5,1978,UP,"",""
2023-01-06 11:00:00,0.5130555555555556,705,UP,"",""
