Begin,Cluster,Description,End,Fab300_Duration,Fab300_User_id,FACILITY,IIO_Duration,IIO_User_id,Modules,Tool,WBS
2023-01-03 14:30:00,,d,2023-01-03 15:00:00,,"",PLINE300,0.5,schoof76,SN,EP5,31199/01057
2023-01-03 15:00:00,,EUV exposures,2023-01-03 16:30:00,,"",PLINE300,1.5,das73,"",SC3400,31199/01889
2023-01-03 15:00:00,,EUV exposures,2023-01-03 16:30:00,,"",PLINE300,1.5,das73,"",TR3400,31199/01889
2023-01-03 15:00:00,,q,2023-01-03 19:00:00,,"",PLINE300,4,vdbroecn,"",H6300_2,31199/01889
2023-01-03 15:00:00,,sem,2023-01-03 17:00:00,,"",PLINE300,2,beirnaer,"",SEMVISION,32299/00013
2023-01-03 15:00:00,,wp6,2023-01-03 18:00:00,,"",PLINE300,3,hasan30,SN,EP5,31199/01876
2023-01-03 15:00:00,0,DEVINPs,2023-01-03 18:25:31,3.382222222222222,janard53,PLINE300,2,janard53,"",PROVISION2E,38199/00432
2023-01-03 15:06:52,0,FIB,2023-01-03 22:00:00,4.470277777777778,impagn97,PLINE300,4,impagn97,"",HELIOS460,42199/00160
2023-01-03 15:08:39,0,Full wafer experiment D06-08,2023-01-03 17:00:00,1.1902777777777778,li99,PLINE300,1.5,li99,LP1;PM6,LAM_E6_2,38199/01715
2023-01-03 15:30:00,,cross-section,2023-01-03 16:30:00,,"",PLINE200,1,wodarz95,"",XL30_CF,97406/01185
2023-01-03 15:51:56,,"",2023-01-03 17:38:04,1.768888888888889,vrebos45,PLINE300,,"","",HELIOS1200,39320/36502
2023-01-03 15:54:41,0,Tb measurements for LDZ,2023-01-04 09:28:38,17.565833333333334,talmel16,PLINE200,17,chen66,"",EV11,31499/02180
2023-01-03 16:00:00,,FEM measurements,2023-01-03 18:00:00,,"",PLINE300,2,das89,"",HITACHI5000,38199/01284
2023-01-03 16:00:00,,GATR FTIR,2023-01-03 17:30:00,,"",PLINE300,1.5,naqvi66,"",FTIR_2,31199/01988
2023-01-03 16:00:00,,Internal process development,2023-01-03 17:30:00,,"",PLINE300,1.5,chauha79,"",2830ZT,30990/32063
2023-01-03 16:00:00,,new Monitor run,2023-01-03 16:30:00,,"",PLINE300,0.5,schoof76,PM,EP5,31199/00653
