DEL_FLAG,FACILITY,ENT_NAME,ROW_ID,CSIM_TIMESTAMP,Area
N,PLINE300,A412_4,13306,2/5/2023 12:47,Area/DDDIFFUSION/Anneal/AnnealOven
N,PLINE300,ANELVA_2,8105,2/5/2023 12:47,Area/DDPVD/Deposition/PVD
N,PLINE300,CENTURA_IIIV,7191,2/5/2023 12:47,Area/DDEPI/Deposition/EPI
N,PLINE300,CIRCL_2,24316,2/5/2023 12:47,Area/ILIME/Metrology/Inspections
N,PLINE300,DNS,76,2/5/2023 12:47,Area/WMCE/Clean/Clean
N,PLINE300,ENDURA,695,2/5/2023 12:47,Area/DDPVD/Deposition/PVD
N,PLINE300,ENDURA_2,1062,2/5/2023 12:47,Area/DDPVD/Deposition/PVD
N,PLINE300,F_REX300X_1,13186,2/5/2023 12:47,Area/WMCE/Cmp/Cmp
N,PLINE300,H6300_2,20573,2/5/2023 12:47,Area/ILIME/Metrology/Inspections
N,PLINE300,METIOR,8827,2/5/2023 12:47,Area/ILIME/Metrology/Inspections
N,PLINE300,MENTOR300,2461,2/5/2023 12:47,Area/ILIME/Metrology/Inspections
N,PLINE300,NOTOOL,6218,2/5/2023 12:47,Area/Dummy-Area/Dummy-SubArea/Dummy-EntityGroup
N,PLINE300,NST300,20590,2/5/2023 12:47,Area/ILIME/Metrology/Inspections
N,PLINE300,PRODUCER_4,8307,2/5/2023 12:47,Area/DDCVD/Deposition/CVD
N,PLINE300,REFLEXION_2,1073,2/5/2023 12:47,Area/WMCE/Cmp/Cmp
N,PLINE300,REFLEXION_4,7053,2/5/2023 12:47,Area/WMCE/Cmp/Cmp
N,PLINE300,SC1970,10680,2/5/2023 12:47,Area/Litho/Exposure/Scanner
N,PLINE300,SC1000,13809,2/5/2023 12:47,Area/Litho/Exposure/Scanner
N,PLINE300,SC3400,20795,2/5/2023 12:47,Area/Litho/Exposure/Scanner
N,PLINE300,SORT6,20065,2/5/2023 12:47,Area/ISE/Sorter/Sorter
N,PLINE300,STOCKER,2302,2/5/2023 12:47,Area/ISE/Stocker/Stocker
N,PLINE300,SYSTEMVI,20479,2/5/2023 12:47,Area/META/AMSI/MetrologyAMSI
N,PLINE300,TEL_TACTRAS3,14466,2/5/2023 12:48,Area/ISE/Etch/CombinedEtch
N,PLINE300,VORTEX_2,7111,2/5/2023 12:48,Area/Lab/Lab/3D
N,PLINE300,XP8,11146,2/5/2023 12:48,Area/DDALD/Deposition/ALD
N,PLINE300,MC600I,15148,2/5/2023 12:52,Area/ELMIC/Metrology/Inspections
N,PLINE300,EAGLE12_3,7662,2/5/2023 13:03,Area/DDALD/Deposition/ALD
N,PLINE200,MICROS_DIE_2,19167,2/5/2023 13:24,Area/ILIME/Metrology/Inspections
N,PLINE200,RAIDER,3947,2/5/2023 13:27,Area/WMCE/Plating/Plating
N,PLINE300,TR3300,8133,2/5/2023 13:30,Area/Litho/Exposure/Track
N,PLINE200,POLYGON,3943,2/5/2023 13:30,Area/DDALD/Deposition/ALD
N,PLINE300,INTREPID,8038,2/5/2023 13:42,Area/DDEPI/Deposition/EPI
N,PLINE300,TR1000,13810,2/5/2023 13:45,Area/Litho/Exposure/Track
N,PLINE300,EBEAM300,12927,2/5/2023 13:45,Area/Litho/Exposure/Scanner
N,PLINE300,TR1950,7353,2/5/2023 14:07,Area/Litho/Exposure/Track
N,PLINE200,FSM_CU,3854,2/5/2023 14:09,Area/ILIME/Metrology/Profilometry
N,PLINE200,TELACT8_1100,3964,2/5/2023 14:23,Area/Litho/Exposure/Track
N,PLINE200,SICONNEX_2,21016,2/5/2023 14:27,Area/WMCE/Clean/Etch
N,PLINE300,LEVITOR4300,262,2/5/2023 14:43,Area/DDDIFFUSION/Anneal/AnnealOven
N,PLINE200,TELACT8_750,3965,2/5/2023 14:45,Area/Litho/Exposure/Track
N,PLINE200,ASM750,3830,2/5/2023 14:46,Area/Litho/Exposure/Scanner
N,PLINE200,SEZ,3953,2/5/2023 14:51,Area/WMCE/Clean/Etch
N,PLINE200,SST_CU,3962,2/5/2023 14:55,Area/WMCE/Clean/Etch
N,PLINE300,TEMLINK,14916,2/5/2023 14:56,Area/ELMIC/Metrology/Inspections
N,PLINE300,DNS_2,2691,2/5/2023 15:03,Area/WMCE/Clean/Clean
N,PLINE200,P7_HITEMP,3940,2/5/2023 15:08,Area/DDDIFFUSION/Anneal/AnnealOven
N,PLINE200,AMAT_CVD,3822,2/5/2023 15:11,Area/DDCVD/Deposition/CVD
N,PLINE300,CENTURA,260,2/5/2023 15:19,Area/DDCVD/Deposition/CVD
N,PLINE200,TELACT8_200,3966,2/5/2023 15:22,Area/Litho/Exposure/Track
N,PLINE200,SAT2,3950,2/5/2023 15:23,Area/WMCE/Clean/Etch
N,PLINE300,TEM_METROLOGY,15206,2/5/2023 15:31,Area/ELMIC/Metrology/Inspections
N,PLINE300,SORT3,1637,2/5/2023 15:33,Area/ISE/Sorter/Sorter
N,PLINE300,PRODUCER_3,1413,2/5/2023 15:50,Area/DDCVD/Deposition/CVD
N,PLINE200,EV11,8786,2/5/2023 15:51,Area/ILIME/Metrology/Inspections
N,PLINE300,PWG5,24324,2/5/2023 15:53,Area/ILIME/Metrology/Inspections
N,PLINE300,POLARKERR_2,20581,2/5/2023 15:55,Area/ILIME/Metrology/Inspections
N,PLINE300,EXSOLVE,14911,2/5/2023 16:16,Area/ELMIC/Metrology/Inspections
N,PLINE300,RS100C_2,2077,2/5/2023 16:24,Area/ILIME/Metrology
N,PLINE300,SABRE,11160,2/5/2023 16:30,Area/WMCE/Plating/Plating
N,PLINE300,NOKOTA,21029,2/5/2023 16:37,Area/WMCE/Plating/Plating
N,PLINE300,SC2000,21339,2/5/2023 16:40,Area/Litho/Exposure/Scanner
N,PLINE300,HITACHI9380,1232,2/5/2023 16:47,Area/ILIME/Metrology/Inspections
N,PLINE300,LAM_E5_2,12686,2/5/2023 16:48,Area/ISE/Etch/CombinedEtch
N,PLINE200,WETSTRIP_WB,9006,2/5/2023 17:01,Area/WMCE/Clean/Etch
N,PLINE300,METRIOS,14921,2/5/2023 17:11,Area/ELMIC/Metrology/Inspections
