DEL_FLAG,FACILITY,ENT_NAME,ROW_ID,CSIM_TIMESTAMP,Area
N,PLINE200,PROBERSA,5316,2/2/2023 14:57,Area/Lab/Lab/3D
N,PLINE200,FUSION,3855,2/2/2023 15:18,Area/Litho/Misc/Misc
N,PLINE300,SAVANNAH,13126,2/2/2023 16:31,Area/DDALD/Deposition/ALD
N,PLINE300,T600,11046,2/2/2023 20:51,Area/ILIME/Metrology/Inspections
N,PLINE200,ELECTRA_CU,3845,2/2/2023 22:23,Area/DDPVD/Deposition/PVD
N,PLINE300,SC3300,8175,2/3/2023 2:42,Area/Litho/Exposure/Scanner
N,PLINE200,AST2,3832,2/3/2023 7:47,Area/DDDIFFUSION/Anneal/AnnealOven
N,PLINE200,MVD300,26712,2/3/2023 7:47,Area/DDALD/Deposition/ALD
N,PLINE300,ASM,6233,2/3/2023 7:47,Area/Dummy-Area/Dummy-SubArea
N,PLINE300,CRESSINGTON300,15006,2/3/2023 7:47,Area/ELMIC/Metrology/Inspections
N,PLINE300,FPCLEAN_2,2063,2/3/2023 7:47,Area/WMCE/FoupClean/FoupClean
N,PLINE300,POLYGON8300,263,2/3/2023 7:47,Area/DDALD/Deposition/ALD
N,PLINE200,40NT,16687,2/3/2023 10:58,Area/WBA/Assembly/Bonding
N,PLINE200,DNS_10,24920,2/3/2023 11:11,Area/WMCE/Clean/Clean
N,PLINE200,FLEXUS,3853,2/3/2023 12:29,Area/ILIME/Metrology/Profilometry
N,PLINE300,LAM_E6_3,23357,2/3/2023 12:47,Area/ISE/Etch/CombinedEtch
N,PLINE300,HAMATECH,22009,2/3/2023 13:11,Area/Litho/Exposure/Scanner
N,PLINE200,A412_2,26167,2/3/2023 13:58,Area/DDDIFFUSION/Anneal/AnnealOven
N,PLINE300,MOLDER,17187,2/3/2023 14:49,Area/WBA/Assembly/Bonding
N,PLINE200,BH800,20374,2/3/2023 16:28,Area/DDPVD/Deposition/PVD
N,PLINE200,BONDER_200,4419,2/3/2023 17:34,Area/WBA/Assembly/Bonding
N,PLINE200,FUSIONBONDER,8847,2/3/2023 18:04,Area/WBA/Assembly/Bonding
N,PLINE200,LEXT_IR,7468,2/3/2023 18:29,Area/ILIME/Metrology/Inspections
N,PLINE300,EXCEL_1,10475,2/3/2023 20:03,Area/DDALD/Deposition/ALD
