Cluster,Description,Fab300_Begin,Fab300_End,Fab300_Res_id,Fab300_User_id,FACILITY,IIO_Begin,IIO_End,IIO_Res_id,IIO_User_id,Modules,Tool,WBS
0,DSA,2023-01-05 10:33:02,2023-01-05 11:29:51,261,hillen84,PLINE300,2023-01-05 10:30:00,2023-01-05 11:30:00,2407,hillen84,BOTL,TRDUOS,31199/01680
0,DSA,2023-01-06 11:00:11,2023-01-06 11:30:47,25,hillen84,PLINE300,2023-01-06 11:00:00,2023-01-06 11:30:00,1549,kampit73,"",H6300,31199/01680
0,DSA,2023-01-23 16:02:20,2023-01-23 18:30:41,870,verstr99,PLINE300,2023-01-23 16:00:00,2023-01-23 18:00:00,509,verstr99,"",SC2000,31199/00650
0,Dummy Oxide wafer etch,2023-01-11 16:12:26,2023-01-11 16:36:15,198,kundu94,PLINE300,2023-01-11 15:30:00,2023-01-11 16:30:00,1971,kundu94,LP1;PM1,LAM_E6,31299/00881
0,EBR clean BB510,2023-01-04 16:48:46,2023-01-04 20:30:37,808,lefevr14,PLINE200,2023-01-04 16:00:00,2023-01-04 18:00:00,1740,lefevr14,"",DEBOND_CLEANER,98300/01618
0,EBR clean BB510,2023-01-04 16:48:46,2023-01-04 20:30:37,808,lefevr14,PLINE200,2023-01-04 20:00:00,2023-01-04 21:30:00,1741,lefevr14,"",DEBOND_CLEANER,98300/01618
0,EBSD-meting Myriam Van De Peer,2023-01-16 08:54:12,2023-01-16 12:47:27,287,vdpeer,PLINE200,2023-01-16 08:00:00,2023-01-16 13:00:00,1734,jmesse,"",XL30_CF,32099/01506
0,EDX,2023-01-11 08:43:46,2023-01-11 10:21:58,278,verbeeck,PLINE200,2023-01-11 08:30:00,2023-01-11 11:00:00,1644,verbeeck,"",NOVA200,43001/01668
0,etch,2023-01-17 13:52:55,2023-01-17 14:17:56,818,raymae79,PLINE300,2023-01-17 14:00:00,2023-01-17 14:30:00,2327,raymae79,PM4;LP3,LAM_E5,98601/01062
0,etch,2023-01-25 16:29:40,2023-01-25 18:41:09,201,jambal44,PLINE300,2023-01-25 16:30:00,2023-01-25 18:00:00,2360,kam,LP3;PM1,LAM_E6,31199/01918
0,etch process,2023-01-09 15:39:09,2023-01-09 18:40:21,761,feurpr61,PLINE300,2023-01-09 15:30:00,2023-01-09 18:30:00,1943,dauend87,LP1;LP2;PM6,TEL_TACTRAS3,98601/00962
0,exposure,2023-01-18 18:40:39,2023-01-18 20:15:17,247,kato15,PLINE300,2023-01-18 18:00:00,2023-01-18 20:00:00,1300,kato15,"",SC3400,31199/31074
0,FAB XSEM support,2023-01-07 07:38:29,2023-01-07 10:05:06,302,caluwaer,PLINE300,2023-01-07 04:00:00,2023-01-07 10:00:00,1088,caluwaer,"",SU8000,42199/00160
0,FIB,2023-01-03 15:06:52,2023-01-03 19:35:05,487,impagn97,PLINE300,2023-01-03 18:00:00,2023-01-03 22:00:00,1147,impagn97,"",HELIOS460,42199/00160
0,Florida JJ,2023-01-06 14:29:47,2023-01-06 22:12:38,179,piao23,PLINE300,2023-01-06 10:00:00,2023-01-06 18:00:00,2030,piao23,LP1;CH1_MC;CH2_MC;CHE,ENDURA_5,43900/02205
0,Full wafer experiment D06-08,2023-01-03 15:08:39,2023-01-03 16:20:04,871,li99,PLINE300,2023-01-03 15:30:00,2023-01-03 17:00:00,2073,li99,LP1;PM6,LAM_E6_2,38199/01715
0,gate etch,2023-01-11 15:35:06,2023-01-11 17:20:28,812,dupuy21,PLINE300,2023-01-11 15:30:00,2023-01-11 18:30:00,2213,dupuy21,LP2;PM4,LAM_E5,31299/01904
0,GATR,2023-01-13 16:21:09,2023-01-13 17:43:59,573,kenis,PLINE300,2023-01-13 14:30:00,2023-01-13 17:00:00,611,kenis,"",FTIR_2,32005/01717
0,glass wafer,2023-01-13 06:35:18,2023-01-13 08:30:56,129,raymaek,PLINE300,2023-01-13 06:00:00,2023-01-13 09:00:00,1998,raymaek,LP1;LP2;PM2;PM3;PM1,REFLEXION_4,37037/01743
0,HATR test,2023-01-20 10:18:53,2023-01-20 11:33:35,574,arvind29,PLINE300,2023-01-20 10:00:00,2023-01-20 12:00:00,614,arvind29,"",FTIR_2,31199/02271
0,HF processing and training,2023-01-25 16:09:39,2023-01-25 16:57:50,155,decost63,PLINE300,2023-01-25 16:00:00,2023-01-25 17:00:00,2347,decost63,CPC11;LP4;MPC5;LP3,DNS_5,31399/31519
0,hf-o3-apm clean of bare si,2023-01-05 07:06:28,2023-01-05 09:36:52,156,drent34,PLINE300,2023-01-05 07:00:00,2023-01-05 09:00:00,2348,drent34,MPC8;LP4;LP3,DNS_6,31199/31811
0,high compressive oxide developme,2023-01-03 10:04:02,2023-01-03 11:20:25,781,vgompel,PLINE300,2023-01-03 10:00:00,2023-01-03 11:30:00,2078,vgompel,LP1;CHB,PRODUCER_2,98300/14175
0,hybrid bonding CMP,2023-01-09 09:16:33,2023-01-09 13:38:30,1,dewild34,PLINE300,2023-01-09 09:00:00,2023-01-09 17:00:00,2024,dewild34,LP1;LP2;H1;H2;H3;H4,REFLEXION_2,31399/31519
0,hybrid bonding CMP,2023-01-17 09:46:58,2023-01-17 15:31:10,7,dewild34,PLINE300,2023-01-17 09:30:00,2023-01-17 16:30:00,2026,dewild34,LP1;LP2;H1;H2;H3;H4,REFLEXION_2,32099/01506
0,hybrid bonding CMP,2023-01-20 11:23:31,2023-01-20 15:29:54,11,dewild34,PLINE300,2023-01-20 09:00:00,2023-01-20 16:30:00,2028,dewild34,LP1;LP2;H1;H2;H3;H4,REFLEXION_2,32299/01084
0,i,2023-01-03 14:05:11,2023-01-03 14:57:48,458,maes72,PLINE300,2023-01-03 14:00:00,2023-01-03 15:00:00,968,maes72,"",SEMVISION,44999/01997
0,i,2023-01-04 07:55:36,2023-01-04 09:57:04,676,dangol,PLINE300,2023-01-04 08:00:00,2023-01-04 10:00:00,227,dangol,"",HELIOS1200,37092/02172
0,i,2023-01-04 14:02:45,2023-01-04 15:02:19,502,vrancken,PLINE300,2023-01-04 14:00:00,2023-01-04 15:00:00,299,vrancken,"",HELIOS1200_2,37092/02172
0,i,2023-01-05 06:36:17,2023-01-05 11:25:40,461,dvriendt,PLINE300,2023-01-05 06:00:00,2023-01-05 08:00:00,934,engelen,"",SEMVISION,43001/43193
0,i,2023-01-08 07:51:37,2023-01-08 09:12:23,270,redants,PLINE200,2023-01-08 08:00:00,2023-01-08 09:00:00,1647,redants,"",HRP220_CU,44999/01817
0,i,2023-01-25 08:21:35,2023-01-25 09:11:22,488,vrancken,PLINE300,2023-01-25 08:00:00,2023-01-25 10:00:00,303,vrancken,"",HELIOS460,37092/02172
0,i;For Sara,2023-01-19 07:20:13,2023-01-19 08:41:18,669,brus,PLINE300,2023-01-19 07:30:00,2023-01-19 10:00:00,736,brus,"",HELIOS1200,38199/37834
0,i;For Sara,2023-01-19 08:54:33,2023-01-19 10:23:34,660,iraci88,PLINE300,2023-01-19 07:30:00,2023-01-19 10:00:00,736,brus,"",HELIOS1200,38199/37834
0,IGZO etch coupons,2023-01-17 10:26:09,2023-01-17 11:29:03,873,kundu43,PLINE300,2023-01-17 10:00:00,2023-01-17 11:00:00,2072,kundu43,LP1;PM3,LAM_E6_2,31299/02062
0,IGZO IBE etch,2023-01-20 09:15:10,2023-01-20 10:31:25,146,li17,PLINE300,2023-01-20 09:00:00,2023-01-20 11:00:00,2227,li17,LP2;CHA,ANELVA_3,38199/01284
0,IGZO project devolpment,2023-01-11 11:37:23,2023-01-11 12:13:53,197,li17,PLINE300,2023-01-11 11:00:00,2023-01-11 12:30:00,2317,li17,LP4;PM5,LAM_E6,38199/01284
0,"IGZO, low In",2023-01-05 14:56:50,2023-01-05 15:33:24,178,agiann70,PLINE300,2023-01-05 13:30:00,2023-01-05 18:00:00,1990,agiann70,LP1;CH4_MC;CHE,ENDURA_5,31499/01284
0,III-V,2023-01-13 09:57:59,2023-01-13 19:44:09,772,alcott43,PLINE300,2023-01-13 10:00:00,2023-01-13 20:00:00,2170,alcott43,LP2;PM3,AIXTRON,32414/01368
0,III-V,2023-01-16 10:46:36,2023-01-16 17:18:36,773,alcott43,PLINE300,2023-01-16 10:00:00,2023-01-16 18:00:00,1891,alcott43,LP1;PM3,AIXTRON,32414/32513
0,ilime 20221205-143043-zaid49,2023-01-18 16:11:47,2023-01-18 21:22:18,750,tielens,PLINE200,2023-01-18 14:00:00,2023-01-18 19:00:00,1787,tielens,"",EXPERT1,98601/01944
0,iLIME 20230111-104429-chew28,2023-01-14 10:21:20,2023-01-14 12:26:20,615,tielens,PLINE300,2023-01-14 10:00:00,2023-01-14 11:00:00,714,tielens,"",TXRF300,32099/01506
0,Imaging electrodeposited layers,2023-01-04 18:47:15,2023-01-04 19:16:38,112,aarts61,PLINE300,2023-01-04 18:30:00,2023-01-04 19:00:00,208,aarts61,"",NOVA200_2,97406/01185
0,IMEC demo,2023-01-13 14:15:00,2023-01-13 15:37:56,860,chang92,PLINE300,2023-01-13 14:00:00,2023-01-13 15:30:00,1915,chang92,LP1;LP3,XP4_2,30990/32063
0,INPRIA,2023-01-12 14:28:57,2023-01-12 16:48:53,38,hofman72,PLINE300,2023-01-12 14:00:00,2023-01-12 16:00:00,497,wouter51,"",SC1000,31199/01706
0,INPRIA,2023-01-17 14:18:54,2023-01-17 19:53:21,650,schrauw,PLINE300,2023-01-17 14:00:00,2023-01-17 15:00:00,528,choudr12,"",H5000_2,31199/31247
