CSIM_TIMESTAMP,Area,DEL_FLAG,ENT_NAME,FACILITY,ROW_ID
2022-11-17 12:47:36,Area/ELMIC/Metrology/Inspections,N,EXSOLVE,PLINE300,14911
2022-11-17 12:47:38,Area/WBA/Assembly/Bonding,N,GEMINI,PLINE300,14546
2022-11-17 12:47:39,Area/ILIME/Metrology/Inspections,N,H4000_2,PLINE300,5445
2022-11-17 12:47:40,Area/ELMIC/Metrology/Inspections,N,HELIOS460,PLINE300,11926
2022-11-17 12:47:42,Area/DDEPI/Deposition/EPI,N,INTREPID,PLINE300,8038
2022-11-17 12:47:45,Area/Dummy-Area/Dummy-SubArea/Dummy-EntityGroup,N,NOTOOL,PLINE300,6218
2022-11-17 12:47:47,Area/DDCVD/Deposition/CVD,N,PRODUCER_4,PLINE300,8307
2022-11-17 12:47:50,Area/Litho/Exposure/Scanner,N,SC3400,PLINE300,20795
2022-11-17 12:47:54,Area/ILIME/Metrology/Inspections,N,T600,PLINE300,11046
2022-11-17 12:49:59,Area/WBA/Assembly/Dicing,N,L5_DICER,PLINE200,23390
2022-11-17 12:54:02,Area/DDPVD/Deposition/PVD,N,ANELVA_3,PLINE300,9566
2022-11-17 13:07:44,Area/ILIME/Metrology/Inspections,N,PLATO,PLINE200,23498
2022-11-17 13:15:31,Area/Litho/Exposure/Scanner,N,ASM1100,PLINE200,3828
2022-11-17 13:31:05,Area/WMCE/Clean/Etch,N,SICONNEX,PLINE200,4939
2022-11-17 13:39:35,Area/WMCE/Clean/Etch,N,SCEPTER,PLINE200,3952
2022-11-17 13:43:27,Area/DDDIFFUSION/Anneal/AnnealOven,N,AST2,PLINE200,3832
2022-11-17 13:43:36,Area/WBA/Assembly/Bonding,N,LASERDEBOND,PLINE200,21486
2022-11-17 13:44:22,Area/ILIME/Metrology/Inspections,N,MICROS_UCR,PLINE200,3880
2022-11-17 13:46:32,Area/DDPVD/Deposition/PVD,N,ELECTRA_CU,PLINE200,3845
2022-11-17 13:46:44,Area/ELMIC/Metrology/Inspections,N,TEMLINK,PLINE300,14916
2022-11-17 13:56:03,Area/DDPVD/Deposition/PVD,N,ENDURA,PLINE300,695
2022-11-17 14:01:10,Area/WMCE/Clean/Etch,N,SEZ304_2,PLINE300,1249
2022-11-17 14:01:41,Area/ISE/Etch/CombinedEtch,N,TEL_LEAGA,PLINE300,20891
2022-11-17 14:17:34,Area/ILIME/Metrology/Ellipsometry,N,F5,PLINE200,3851
2022-11-17 14:25:51,Area/ILIME/Metrology/Defectivity,N,SP2_200,PLINE200,21757
2022-11-17 14:27:18,Area/Litho/Exposure/Track,N,TRDUOS,PLINE300,21671
2022-11-17 14:32:58,Area/Litho/Exposure/Scanner,N,ASM750,PLINE200,3830
2022-11-17 14:48:57,Area/ILIME/Metrology/Inspections,N,EXPERT1,PLINE200,13066
2022-11-17 14:51:32,Area/Litho/Exposure/Scanner,N,AP300,PLINE200,5635
2022-11-17 14:58:07,Area/ELMIC/Metrology/Inspections,N,NOVA200_2,PLINE300,4673
2022-11-17 14:59:34,Area/ILIME/Metrology/Inspections,N,KLA2925,PLINE300,12955
2022-11-17 15:05:33,Area/DDDIFFUSION/Anneal/AnnealOven,N,MRT5000,PLINE200,8472
2022-11-17 15:13:39,Area/ILIME/Metrology/Defectivity,N,SEMVISION,PLINE300,4926
2022-11-17 15:16:38,Area/WMCE/Cmp/Cmp,N,F_REX300X_2,PLINE300,22978
2022-11-17 15:17:31,Area/ILIME/Metrology/Inspections,N,ARCHER,PLINE200,75
2022-11-17 15:18:43,Area/ILIME/Metrology/XRRD,N,QC3,PLINE200,6348
2022-11-17 15:20:10,Area/DDEPI/Deposition/EPI,N,CENTURA_IIIV,PLINE300,7191
2022-11-17 15:22:30,Area/ILIME/Metrology/Inspections,N,H6300_2,PLINE300,20573
2022-11-17 15:30:09,Area/ISE/Etch/CombinedEtch,N,TEL_TACTRAS2,PLINE300,9666
2022-11-17 15:31:18,Area/WMCE/Clean/Etch,N,SICONNEX_2,PLINE200,21016
2022-11-17 15:34:11,Area/DDPVD/Deposition/PVD,N,ENDURA_3,PLINE300,5065
2022-11-17 15:46:46,Area/WMCE/Clean/Etch,N,CELLESTA,PLINE300,6653
2022-11-17 15:55:41,Area/ELMIC/Metrology/Inspections,N,SU8000,PLINE300,5443
2022-11-17 16:00:37,Area/ISE/Etch/CombinedEtch,N,DOM_FEOL,PLINE200,3841
2022-11-17 16:03:47,Area/WBA/Assembly/Bonding,N,BONDER_200,PLINE200,4419
2022-11-17 16:05:08,Area/Litho/Exposure/Track,N,TELACT8_1100,PLINE200,3964
2022-11-17 16:06:35,Area/Litho/Exposure/Track,N,TELACT8_750,PLINE200,3965
2022-11-17 16:08:27,Area/ISE/Etch/CombinedEtch,N,LAM_E5_2,PLINE300,12686
2022-11-17 16:17:57,Area/WMCE/Clean/Clean,N,DNS_2,PLINE300,2691
2022-11-17 16:18:25,Area/WMCE/Clean/Etch,N,DNS_3,PLINE200,5498
2022-11-17 16:18:53,Area/Litho/Exposure/Track,N,TR1000,PLINE300,13810
2022-11-17 16:28:19,Area/DDCVD/Deposition/CVD,N,EXCEL_2,PLINE300,10483
2022-11-17 16:29:07,Area/ILIME/Metrology/Inspections,N,METIOR,PLINE300,8827
2022-11-17 16:38:18,Area/DDCVD/Deposition/CVD,N,PRODUCER_3,PLINE300,1413
2022-11-17 16:42:57,Area/ELMIC/Metrology/Inspections,N,TITAN,PLINE300,10448
2022-11-17 16:48:39,Area/DDDIFFUSION/Anneal/AnnealOven,N,A412,PLINE300,1715
2022-11-17 16:55:29,Area/DDCVD/Deposition/CVD,N,PRODUCER_2,PLINE300,1056
2022-11-17 17:05:29,Area/ELMIC/Metrology/Inspections,N,HELIOS1200_2,PLINE300,20568
2022-11-17 17:20:59,Area/WMCE/Clean/Etch,N,WETSTRIP_WB,PLINE200,9006
2022-11-17 17:29:16,Area/ISE/Sorter/Sorter,N,SORT1,PLINE300,82
2022-11-17 17:29:24,Area/Litho/Exposure/Track,N,TRPROAP,PLINE300,24652
