fo_row_id,Datim,EVENT_ROW_ID,State
1073,09/01/2022 9:18,929434262,PARTLY_UP
1078,09/01/2022 9:18,929434275,UP
1073,09/01/2022 9:18,929434278,UP
8466,09/01/2022 9:19,929434445,RESERVED
8467,09/01/2022 9:19,929434447,RESERVED
8468,09/01/2022 9:19,929434449,RESERVED
1076,09/01/2022 9:19,929434451,RESERVED
1077,09/01/2022 9:19,929434453,RESERVED
1078,09/01/2022 9:19,929434455,RESERVED
1079,09/01/2022 9:19,929434457,RESERVED
1075,09/01/2022 9:19,929434459,RESERVED
1073,09/01/2022 9:19,929434461,RESERVED
19205,09/01/2022 9:20,929434579,RESERVED
19211,09/01/2022 9:20,929434581,RESERVED
247,09/01/2022 9:23,929435043,RESERVED
248,09/01/2022 9:23,929435045,RESERVED
263,09/01/2022 9:23,929435047,UP
13687,09/01/2022 9:24,929435092,RESERVED
13694,09/01/2022 9:24,929435094,RESERVED
19781,09/01/2022 9:24,929435101,IN_MAINT
19782,09/01/2022 9:24,929435138,IN_MAINT
19780,09/01/2022 9:24,929435140,IN_MAINT
19783,09/01/2022 9:24,929435158,IN_MAINT
19784,09/01/2022 9:24,929435166,IN_MAINT
19785,09/01/2022 9:24,929435179,IN_MAINT
24493,09/01/2022 9:25,929435259,UP
9469,09/01/2022 9:25,929435424,OCAP
4926,09/01/2022 9:28,929439820,UP
12695,09/01/2022 9:29,929442407,IN_MAINT
13809,09/01/2022 9:29,929442508,IDLE_ERROR
10907,09/01/2022 9:32,929442996,UP
21729,09/01/2022 9:33,929443087,IN_REPAIR
21729,09/01/2022 9:33,929443101,UP
4020,09/01/2022 9:38,929444159,UP
3845,09/01/2022 9:38,929444178,UP
4024,09/01/2022 9:38,929444495,SPC_TEST
4024,09/01/2022 9:39,929444756,UP
24493,09/01/2022 9:41,929444974,RESERVED
4025,09/01/2022 9:41,929445005,UP
2862,09/01/2022 9:42,929445173,IDLE_ERROR
2862,09/01/2022 9:42,929445192,IN_REPAIR
4142,09/01/2022 9:42,929445198,UP
4026,09/01/2022 9:42,929445221,OCAP
11926,09/01/2022 9:43,929445243,UP
3850,09/01/2022 9:43,929445367,UP
3850,09/01/2022 9:43,929445370,PARTLY_UP
3850,09/01/2022 9:43,929445397,UP
20373,09/01/2022 9:44,929445450,UP
21934,09/01/2022 9:48,929448116,RESERVED
19205,09/01/2022 9:48,929448181,UP
19211,09/01/2022 9:48,929448183,UP
79,09/01/2022 9:49,929449455,IN_REPAIR
79,09/01/2022 9:49,929449521,UP
2862,09/01/2022 9:49,929449698,UP
4024,09/01/2022 9:50,929450922,IN_MAINT
20373,09/01/2022 9:50,929450926,IN_MAINT
4025,09/01/2022 9:50,929450928,IN_MAINT
4022,09/01/2022 9:50,929450936,IN_MAINT
4023,09/01/2022 9:50,929450939,IN_MAINT
18993,09/01/2022 9:51,929451041,PARTLY_UP
9669,09/01/2022 9:53,929451491,RESERVED
9672,09/01/2022 9:53,929451493,RESERVED
7379,09/01/2022 9:54,929451636,UP
20579,09/01/2022 9:55,929451981,UP
79,09/01/2022 9:58,929452704,IN_MAINT
22987,09/01/2022 9:59,929453051,RESERVED
22992,09/01/2022 9:59,929453053,RESERVED
4082,09/01/2022 9:59,929453073,SPC_TEST
3832,09/01/2022 9:59,929453075,SPC_TEST
8487,09/01/2022 10:03,929454169,RESERVED
10088,09/01/2022 10:06,929455358,IN_MAINT
10089,09/01/2022 10:06,929455362,IN_MAINT
10090,09/01/2022 10:06,929455364,IN_MAINT
10093,09/01/2022 10:06,929455368,IN_MAINT
10094,09/01/2022 10:06,929455374,IN_MAINT
10095,09/01/2022 10:06,929455379,IN_MAINT
10096,09/01/2022 10:06,929455385,IN_MAINT
10092,09/01/2022 10:06,929455391,IN_MAINT
10087,09/01/2022 10:06,929455399,IN_MAINT
8786,09/01/2022 10:07,929455754,RESERVED
4066,09/01/2022 10:10,929457462,RESERVED
4068,09/01/2022 10:10,929457464,RESERVED
3941,09/01/2022 10:10,929457468,RESERVED
5463,09/01/2022 10:13,929458761,RESERVED
24493,09/01/2022 10:15,929459419,UP
4078,09/01/2022 10:15,929459481,UP
3943,09/01/2022 10:15,929459483,PARTLY_UP
1254,09/01/2022 10:24,929462367,SPC_TEST
4538,09/01/2022 10:24,929462495,SPC_TEST
4082,09/01/2022 10:27,929463264,UP
3832,09/01/2022 10:27,929463267,UP
16166,09/01/2022 10:28,929463730,SPC_TEST
13809,09/01/2022 10:34,929466476,IN_REPAIR
13809,09/01/2022 10:34,929466559,PARTLY_UP
24493,09/01/2022 10:35,929466821,RESERVED
429,09/01/2022 10:35,929466862,RESERVED
13810,09/01/2022 10:36,929466993,PARTLY_UP
11108,09/01/2022 10:37,929467281,IN_MAINT
11108,09/01/2022 10:37,929467472,SPC_TEST
20795,09/01/2022 10:49,929470334,UP
8046,09/01/2022 10:52,929471404,PARTLY_UP
4128,09/01/2022 10:52,929471473,OCAP
3849,09/01/2022 10:52,929471486,OCAP
10648,09/01/2022 10:54,929472163,IN_MAINT
6960,09/01/2022 11:01,929474069,SPC_TEST
3884,09/01/2022 11:02,929474348,RESERVED
260,09/01/2022 11:03,929474450,IN_MAINT
9669,09/01/2022 11:04,929474781,UP
9672,09/01/2022 11:04,929474783,UP
429,09/01/2022 11:04,929474974,PARTLY_UP
13626,09/01/2022 11:05,929475002,RESERVED
13628,09/01/2022 11:05,929475005,RESERVED
13630,09/01/2022 11:05,929475009,RESERVED
13632,09/01/2022 11:05,929475011,RESERVED
13187,09/01/2022 11:05,929475013,RESERVED
13188,09/01/2022 11:05,929475017,RESERVED
21013,09/01/2022 11:05,929475020,RESERVED
13192,09/01/2022 11:05,929475022,RESERVED
13191,09/01/2022 11:05,929475039,RESERVED
4612,09/01/2022 11:07,929475819,IN_REPAIR
4612,09/01/2022 11:07,929475901,SPC_TEST
3841,09/01/2022 11:07,929475905,UP
