,Facility,Tool,Datim,State,State_SC,State_TR,id,Duration,BeginEndFlag
265,PLINE300,NOVA200_2,2023-01-04 18:30:00,UP,,,265.0,0.7666666666666667,Begin
1601,PLINE300,NOVA200_2,2023-01-05 08:00:00,UP,,,1601.0,1.5,Begin
268,PLINE300,NOVA200_2,2023-01-05 14:00:00,UP,,,268.0,1.6,Begin
256,PLINE300,NOVA200_2,2023-01-05 15:30:00,UP,,,256.0,1.5,Begin
257,PLINE300,NOVA200_2,2023-01-06 11:00:00,UP,,,257.0,2.0,Begin
1589,PLINE300,NOVA200_2,2023-01-06 13:00:00,UP,,,1589.0,2.5,Begin
1580,PLINE300,NOVA200_2,2023-01-06 15:30:00,UP,,,1580.0,1.5,Begin
261,PLINE300,NOVA200_2,2023-01-09 08:00:00,UP,,,261.0,2.0,Begin
264,PLINE300,NOVA200_2,2023-01-09 10:00:00,UP,,,264.0,2.2,Begin
253,PLINE300,NOVA200_2,2023-01-09 13:30:00,UP,,,253.0,4.533333333333333,Begin
2002,PLINE300,NOVA200_2,2023-01-10 10:58:00,UP,,,2002.0,0.4,Begin
1590,PLINE300,NOVA200_2,2023-01-10 14:00:00,UP,,,1590.0,1.5,Begin
398,PLINE300,NOVA200_2,2023-01-10 15:17:00,DOWN,,,1590.0,1.5,Begin
262,PLINE300,NOVA200_2,2023-01-11 08:00:00,DOWN,,,262.0,2.0,Begin
399,PLINE300,NOVA200_2,2023-01-11 08:47:00,UP,,,262.0,2.0,Begin
1604,PLINE300,NOVA200_2,2023-01-11 11:00:00,UP,,,1604.0,1.5,Begin
1591,PLINE300,NOVA200_2,2023-01-11 12:30:00,UP,,,1591.0,3.0,Begin
1582,PLINE300,NOVA200_2,2023-01-12 10:00:00,UP,,,1582.0,1.0,Begin
1605,PLINE300,NOVA200_2,2023-01-12 13:30:00,UP,,,1605.0,1.5,Begin
266,PLINE300,NOVA200_2,2023-01-12 15:30:00,UP,,,266.0,1.5,Begin
1579,PLINE300,NOVA200_2,2023-01-12 17:00:00,UP,,,1579.0,1.5,Begin
269,PLINE300,NOVA200_2,2023-01-13 08:29:00,UP,,,269.0,1.7333333333333334,Begin
1592,PLINE300,NOVA200_2,2023-01-13 13:00:00,UP,,,1592.0,2.5,Begin
1581,PLINE300,NOVA200_2,2023-01-13 15:30:00,UP,,,1581.0,1.5,Begin
1602,PLINE300,NOVA200_2,2023-01-13 18:30:00,UP,,,1602.0,1.5,Begin
2003,PLINE300,NOVA200_2,2023-01-16 09:19:00,UP,,,2003.0,0.9833333333333333,Begin
1593,PLINE300,NOVA200_2,2023-01-16 13:00:00,DOWN,,,1593.0,3.0,Begin
1603,PLINE300,NOVA200_2,2023-01-16 17:00:00,DOWN,,,1603.0,1.0,Begin
1584,PLINE300,NOVA200_2,2023-01-17 16:30:00,UP,,,1584.0,1.5,Begin
1594,PLINE300,NOVA200_2,2023-01-18 12:30:00,UP,,,1594.0,3.0,Begin
258,PLINE300,NOVA200_2,2023-01-18 16:38:00,UP,,,258.0,1.8166666666666667,Begin
1606,PLINE300,NOVA200_2,2023-01-19 09:00:00,UP,,,1606.0,2.0,Begin
260,PLINE300,NOVA200_2,2023-01-19 12:30:00,UP,,,260.0,1.5,Begin
259,PLINE300,NOVA200_2,2023-01-19 14:00:00,UP,,,259.0,1.5,Begin
1598,PLINE300,NOVA200_2,2023-01-19 18:00:00,UP,,,1598.0,1.5,Begin
1595,PLINE300,NOVA200_2,2023-01-20 13:00:00,UP,,,1595.0,4.0,Begin
267,PLINE300,NOVA200_2,2023-01-20 17:00:00,UP,,,267.0,1.6333333333333333,Begin
1583,PLINE300,NOVA200_2,2023-01-21 08:00:00,UP,,,1583.0,2.0,Begin
1585,PLINE300,NOVA200_2,2023-01-23 09:30:00,UP,,,1585.0,1.5,Begin
1596,PLINE300,NOVA200_2,2023-01-23 13:00:00,UP,,,1596.0,2.5,Begin
