FO_ROW_ID,ResTk,ResWBS,EVENT_ROW_ID,USER_ID,DATE_TIME_STAMP
5443,N/a,38199/01490,946680337,stiersj,11/5/2022 10:56
5443,NULL,NULL,946685933,stiersj,11/5/2022 11:44
5443,N/a,39320/36502,947231629,subedi56,11/8/2022 3:26
5443,NULL,NULL,947244541,subedi56,11/8/2022 4:46
5443,4168796,98300/14175,947276996,maes72,11/8/2022 9:01
5443,NULL,NULL,947291852,maes72,11/8/2022 10:20
5443,N/a,39320/36502,947541817,vdstaey,11/9/2022 4:48
5443,NULL,NULL,947549339,vdstaey,11/9/2022 6:05
5443,N/a,98300/01618,947606204,maes72,11/9/2022 10:28
5443,NULL,NULL,947639384,maes72,11/9/2022 11:56
5443,N/a,39320/36502,947790937,vdstaey,11/9/2022 22:08
5443,NULL,NULL,947811731,vdstaey,11/10/2022 0:52
5443,N/a,39320/36502,947830549,subedi56,11/10/2022 3:33
5443,NULL,NULL,947843910,subedi56,11/10/2022 5:30
5443,4169845,37004/15017,948265612,maes72,11/14/2022 8:37
5443,NULL,NULL,948280845,maes72,11/14/2022 9:37
5443,N/a,37004/15017,948367900,maes72,11/14/2022 14:50
5443,NULL,NULL,948382698,maes72,11/14/2022 15:31
5443,N/a,39320/36502,948474128,michal78,11/14/2022 20:01
5443,NULL,NULL,948491655,michal78,11/14/2022 21:35
5463,4167760,31012/01649,946101802,vanpuym,11/3/2022 11:00
5463,NULL,NULL,946135931,vanpuym,11/3/2022 12:40
5463,4167909,31012/01649,946416260,vanpuym,11/4/2022 11:24
5463,NULL,NULL,946468946,catrysse,11/4/2022 14:41
5623,N/a,98300/01618,946405216,redants,11/4/2022 10:33
5623,NULL,NULL,946414029,redants,11/4/2022 11:14
5635,4167533,32099/01821,946087990,mingar54,11/3/2022 10:05
5635,NULL,NULL,946101727,vanpuym,11/3/2022 10:59
5635,4167959,32299/00716,946413594,guerrera,11/4/2022 11:12
5635,NULL,NULL,946452919,guerrera,11/4/2022 13:54
5635,4168136,32099/01821,947296799,mingar54,11/8/2022 10:34
5635,NULL,NULL,947349018,gooris43,11/8/2022 13:43
5635,4169322,32099/01821,947896461,mingar54,11/10/2022 10:39
5635,NULL,NULL,947919487,mingar54,11/10/2022 11:54
6277,4167994,30990/32063,946180410,homkar65,11/3/2022 15:15
6277,NULL,NULL,946212053,landsh18,11/3/2022 16:57
