EVENT_ROW_ID,Datim,State_SC,ToolName,State_TR,State,FACILITY,LithoCluster
942812253,10/21/2022 7:59,RESERVED,SC1000,UP,DOWN,PLINE300,1000
942812272,10/21/2022 7:59,RESERVED,TR1000,RESERVED,DOWN,PLINE300,1000
942836477,10/21/2022 9:46,RESERVED,TR1000,UP,DOWN,PLINE300,1000
942836524,10/21/2022 9:46,UP,SC1000,UP,UP,PLINE300,1000
942917034,10/21/2022 14:28,RESERVED,SC1000,UP,DOWN,PLINE300,1000
942917478,10/21/2022 14:28,RESERVED,TR1000,RESERVED,DOWN,PLINE300,1000
942980550,10/21/2022 17:30,RESERVED,TR1000,UP,DOWN,PLINE300,1000
942980566,10/21/2022 17:31,UP,SC1000,UP,UP,PLINE300,1000
943031610,10/21/2022 19:22,IDLE_ERROR,SC1000,UP,DOWN,PLINE300,1000
943044860,10/21/2022 20:06,UP,SC1000,UP,UP,PLINE300,1000
943286111,10/23/2022 0:00,DOWN_TEST,SC1000,UP,DOWN,PLINE300,1000
943295033,10/23/2022 1:56,PARTLY_UP,SC1000,UP,DOWN,PLINE300,1000
943311312,10/23/2022 6:58,UP,SC1000,UP,UP,PLINE300,1000
943323688,10/23/2022 8:19,RESERVED,SC1000,UP,DOWN,PLINE300,1000
943334534,10/23/2022 9:55,UP,SC1000,UP,UP,PLINE300,1000
943377337,10/23/2022 17:37,UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
943473549,10/24/2022 9:40,IN_MAINT,SC1000,PARTLY_UP,DOWN,PLINE300,1000
943693414,10/24/2022 20:55,IN_MAINT,TR1000,UP,DOWN,PLINE300,1000
943967684,10/25/2022 18:53,UP,SC1000,UP,UP,PLINE300,1000
944122051,10/26/2022 9:00,UP,TR1000,DOWN_TEST,DOWN,PLINE300,1000
944194772,10/26/2022 14:26,UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
944333969,10/27/2022 0:00,DOWN_TEST,SC1000,PARTLY_UP,DOWN,PLINE300,1000
944501676,10/27/2022 14:31,PARTLY_UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
944545088,10/27/2022 17:03,RESERVED,SC1000,PARTLY_UP,DOWN,PLINE300,1000
944545154,10/27/2022 17:03,RESERVED,TR1000,RESERVED,DOWN,PLINE300,1000
944589176,10/27/2022 18:15,RESERVED,TR1000,PARTLY_UP,DOWN,PLINE300,1000
944589193,10/27/2022 18:15,PARTLY_UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
944663831,10/28/2022 0:00,DOWN_TEST,SC1000,PARTLY_UP,DOWN,PLINE300,1000
944725682,10/28/2022 6:03,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
944735430,10/28/2022 7:13,IDLE_ERROR,SC1000,PARTLY_UP,DOWN,PLINE300,1000
944742269,10/28/2022 7:58,UP,SC1000,PARTLY_UP,DOWN,PLINE300,1000
944783507,10/28/2022 11:02,UP,TR1000,IN_REPAIR,DOWN,PLINE300,1000
944809261,10/28/2022 12:05,UP,TR1000,PARTLY_UP,DOWN,PLINE300,1000
